category_genre,categoryId,category_name
大カテゴリ,30,人気メニュー
大カテゴリ,31,定番の肉料理
大カテゴリ,32,定番の魚料理
大カテゴリ,33,卵料理
大カテゴリ,14,ご飯もの
大カテゴリ,15,パスタ
大カテゴリ,16,麺・粉物料理
大カテゴリ,17,汁物・スープ
大カテゴリ,23,鍋料理
大カテゴリ,18,サラダ
大カテゴリ,22,パン
大カテゴリ,21,お菓子
大カテゴリ,10,肉
大カテゴリ,11,魚
大カテゴリ,12,野菜
大カテゴリ,34,果物
大カテゴリ,19,ソース・調味料・ドレッシング
大カテゴリ,27,飲みもの
大カテゴリ,35,大豆・豆腐
大カテゴリ,13,その他の食材
大カテゴリ,20,お弁当
大カテゴリ,36,簡単料理・時短
大カテゴリ,37,節約料理
大カテゴリ,38,今日の献立
大カテゴリ,39,健康料理
大カテゴリ,40,調理器具
大カテゴリ,26,その他の目的・シーン
大カテゴリ,41,中華料理
大カテゴリ,42,韓国料理
大カテゴリ,43,イタリア料理
大カテゴリ,44,フランス料理
大カテゴリ,25,西洋料理
大カテゴリ,46,エスニック料理・中南米
大カテゴリ,47,沖縄料理
大カテゴリ,48,日本各地の郷土料理
大カテゴリ,24,行事・イベント
大カテゴリ,49,おせち料理
大カテゴリ,50,クリスマス
大カテゴリ,51,ひな祭り
大カテゴリ,52,春（3月～5月）
大カテゴリ,53,夏（6月～8月）
大カテゴリ,54,秋（9月～11月）
大カテゴリ,55,冬（12月～2月）
中カテゴリ,10-275,牛肉
中カテゴリ,10-276,豚肉
中カテゴリ,10-277,鶏肉
中カテゴリ,10-278,ひき肉
中カテゴリ,10-68,ベーコン
中カテゴリ,10-66,ソーセージ・ウインナー
中カテゴリ,10-67,ハム
中カテゴリ,10-69,その他のお肉
中カテゴリ,11-70,サーモン・鮭
中カテゴリ,11-71,いわし
中カテゴリ,11-72,さば
中カテゴリ,11-73,あじ
中カテゴリ,11-74,ぶり
中カテゴリ,11-75,さんま
中カテゴリ,11-76,鯛
中カテゴリ,11-77,マグロ
中カテゴリ,11-443,たら
中カテゴリ,11-78,その他のさかな
中カテゴリ,11-80,いか
中カテゴリ,11-81,たこ
中カテゴリ,11-79,エビ
中カテゴリ,11-83,かに
中カテゴリ,11-444,牡蠣
中カテゴリ,11-82,貝類
中カテゴリ,11-445,明太子・魚卵
中カテゴリ,11-446,その他の魚介
中カテゴリ,12-447,なす
中カテゴリ,12-448,かぼちゃ
中カテゴリ,12-449,大根
中カテゴリ,12-450,きゅうり
中カテゴリ,12-97,じゃがいも
中カテゴリ,12-452,さつまいも
中カテゴリ,12-98,キャベツ
中カテゴリ,12-453,白菜
中カテゴリ,12-454,トマト
中カテゴリ,12-99,もやし
中カテゴリ,12-456,小松菜
中カテゴリ,12-457,ほうれん草
中カテゴリ,12-455,ごぼう
中カテゴリ,12-451,アボカド
中カテゴリ,12-96,玉ねぎ
中カテゴリ,12-458,ブロッコリー
中カテゴリ,12-95,にんじん
中カテゴリ,12-100,春野菜
中カテゴリ,12-101,夏野菜
中カテゴリ,12-102,秋野菜
中カテゴリ,12-103,冬野菜
中カテゴリ,12-105,きのこ
中カテゴリ,12-107,香味野菜・ハーブ
中カテゴリ,12-104,その他の野菜
中カテゴリ,13-478,もち米
中カテゴリ,13-706,もち麦
中カテゴリ,13-479,マカロニ・ペンネ
中カテゴリ,13-480,ホットケーキミックス
中カテゴリ,13-481,粉類
中カテゴリ,13-108,練物
中カテゴリ,13-109,加工食品
中カテゴリ,13-482,チーズ
中カテゴリ,13-483,ヨーグルト
中カテゴリ,13-111,こんにゃく
中カテゴリ,13-112,しらたき
中カテゴリ,13-113,海藻
中カテゴリ,13-114,乾物
中カテゴリ,13-484,漬物
中カテゴリ,13-115,その他の食材
中カテゴリ,14-121,オムライス
中カテゴリ,14-131,チャーハン
中カテゴリ,14-126,パエリア
中カテゴリ,14-124,タコライス
中カテゴリ,14-122,チキンライス
中カテゴリ,14-123,ハヤシライス
中カテゴリ,14-125,ロコモコ
中カテゴリ,14-127,ピラフ
中カテゴリ,14-368,ハッシュドビーフ
中カテゴリ,14-128,その他○○ライス
中カテゴリ,14-129,寿司
中カテゴリ,14-130,丼物
中カテゴリ,14-132,炊き込みご飯
中カテゴリ,14-133,おかゆ・雑炊類
中カテゴリ,14-134,おにぎり
中カテゴリ,14-135,アレンジごはん
中カテゴリ,14-271,その他のごはん料理
中カテゴリ,15-687,カルボナーラ
中カテゴリ,15-137,ミートソース
中カテゴリ,15-676,ナポリタン
中カテゴリ,15-681,ペペロンチーノ
中カテゴリ,15-369,ジェノベーゼ
中カテゴリ,15-677,ペスカトーレ
中カテゴリ,15-683,たらこパスタ・明太子パスタ
中カテゴリ,15-682,ボンゴレ
中カテゴリ,15-678,アラビアータ
中カテゴリ,15-679,トマトクリームパスタ
中カテゴリ,15-684,納豆パスタ
中カテゴリ,15-680,トマト系パスタ
中カテゴリ,15-138,クリーム系パスタ
中カテゴリ,15-139,オイル・塩系パスタ
中カテゴリ,15-140,チーズ系パスタ
中カテゴリ,15-141,バジルソース系パスタ
中カテゴリ,15-142,和風パスタ
中カテゴリ,15-685,きのこパスタ
中カテゴリ,15-686,ツナパスタ
中カテゴリ,15-143,冷製パスタ
中カテゴリ,15-145,スープスパ・スープパスタ
中カテゴリ,15-146,その他のパスタ
中カテゴリ,15-144,パスタソース
中カテゴリ,15-147,ニョッキ
中カテゴリ,15-151,ラザニア
中カテゴリ,15-382,ラビオリ
中カテゴリ,16-152,うどん
中カテゴリ,16-153,蕎麦
中カテゴリ,16-154,そうめん
中カテゴリ,16-155,焼きそば
中カテゴリ,16-156,ラーメン
中カテゴリ,16-383,冷やし中華
中カテゴリ,16-384,つけ麺
中カテゴリ,16-272,その他の麺
中カテゴリ,16-385,お好み焼き
